id	effectiveTime	active	moduleId	definitionStatusId
40561000009100	20150131	0	332351000009108	900000000000074008
39531000009100	20150131	0	332351000009108	900000000000074008
308681000009104	20150131	0	332351000009108	900000000000074008
32851000009100	20150131	0	332351000009108	900000000000074008
357061000009106	20150127	1	332351000009108	900000000000074008
357051000009108	20150126	1	332351000009108	900000000000074008
310341000009102	20150123	1	332351000009108	900000000000073002
125141000025101	20080829	0	332351000009108	900000000000074008
125111000025100	20080829	0	332351000009108	900000000000074008
125101000025103	20080829	0	332351000009108	900000000000074008
125041000025100	20080829	0	332351000009108	900000000000074008
125001000025102	20080829	0	332351000009108	900000000000074008
124941000025100	20080829	0	332351000009108	900000000000074008
124831000025100	20080829	0	332351000009108	900000000000074008
124811000025107	20080829	0	332351000009108	900000000000074008
124731000025109	20080829	0	332351000009108	900000000000074008
124671000025101	20080829	0	332351000009108	900000000000074008
124661000025109	20080829	0	332351000009108	900000000000074008
124601000025108	20080829	0	332351000009108	900000000000074008
124561000025108	20080829	0	332351000009108	900000000000074008
124531000025103	20080829	0	332351000009108	900000000000074008
124481000025101	20080829	0	332351000009108	900000000000074008
124461000025107	20080829	0	332351000009108	900000000000074008
124451000025105	20080829	0	332351000009108	900000000000074008
124391000025109	20080829	0	332351000009108	900000000000074008
124381000025106	20080829	0	332351000009108	900000000000074008
124281000025100	20080829	0	332351000009108	900000000000074008
123951000025101	20080829	0	332351000009108	900000000000074008
123891000025104	20080829	0	332351000009108	900000000000074008
123761000025102	20080829	0	332351000009108	900000000000074008
123751000025104	20080829	0	332351000009108	900000000000074008
123731000025107	20080829	0	332351000009108	900000000000074008
123721000025109	20080829	0	332351000009108	900000000000074008
123711000025100	20080829	0	332351000009108	900000000000074008
123681000025101	20080829	0	332351000009108	900000000000074008
123671000025104	20080829	0	332351000009108	900000000000074008
123601000025106	20080829	0	332351000009108	900000000000074008
123591000025102	20080829	0	332351000009108	900000000000074008
123521000025104	20080829	0	332351000009108	900000000000074008
123511000025108	20080829	0	332351000009108	900000000000074008
123501000025105	20080829	0	332351000009108	900000000000074008
123491000025101	20080829	0	332351000009108	900000000000074008
123481000025104	20080829	0	332351000009108	900000000000074008
123471000025102	20080829	0	332351000009108	900000000000074008
123461000025105	20080829	0	332351000009108	900000000000074008
123431000025100	20080829	0	332351000009108	900000000000074008
123421000025103	20080829	0	332351000009108	900000000000074008
123361000025103	20080829	0	332351000009108	900000000000074008
123351000025100	20080829	0	332351000009108	900000000000074008
123341000025102	20080829	0	332351000009108	900000000000074008
123301000025104	20080829	0	332351000009108	900000000000074008
123291000025100	20080829	0	332351000009108	900000000000074008
123281000025103	20080829	0	332351000009108	900000000000074008
123231000025104	20080829	0	332351000009108	900000000000074008
123221000025102	20080829	0	332351000009108	900000000000074008
123171000025109	20080829	0	332351000009108	900000000000074008
123121000025108	20080829	0	332351000009108	900000000000074008
123071000025108	20080829	0	332351000009108	900000000000074008
123041000025104	20080829	0	332351000009108	900000000000074008
123031000025105	20080829	0	332351000009108	900000000000074008
122991000025102	20080829	0	332351000009108	900000000000074008
122971000025103	20080829	0	332351000009108	900000000000074008
122961000025106	20080829	0	332351000009108	900000000000074008
122741000025109	20080829	0	332351000009108	900000000000074008
122571000025107	20080829	0	332351000009108	900000000000074008
122521000025106	20080829	0	332351000009108	900000000000074008
122511000025102	20080829	0	332351000009108	900000000000074008
122481000025106	20080829	0	332351000009108	900000000000074008
122471000025108	20080829	0	332351000009108	900000000000074008
122461000025100	20080829	0	332351000009108	900000000000074008
122441000025104	20080829	0	332351000009108	900000000000074008
122421000025107	20080829	0	332351000009108	900000000000074008
122411000025103	20080829	0	332351000009108	900000000000074008
122321000025100	20080829	0	332351000009108	900000000000074008
122301000025106	20080829	0	332351000009108	900000000000074008
